player1,player2,player3,player4,player5,2FGA,2FGM,3FGA,3FGM,AG,AS,CM,CMU,D,FTA,FTM,FV,O,OF,RV,ST,TEAM,TO,seconds
"GRANGER, JAYSON","JANNING, MATT","JONES, KEVIN","TIMMA, JANIS","VOIGTMANN, JOHANNES",1,5,5,2,0,6,3,0,4,1,1,0,1,0,5,1,BAS,2,335.0
"GRANGER, JAYSON","JANNING, MATT","MALMANIS, RINALDS","POIRIER, VINCENT","TIMMA, JANIS",13,16,10,8,3,15,10,0,16,0,3,2,9,0,12,2,BAS,4,737.0
"GRANGER, JAYSON","JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS",11,29,11,10,1,26,16,1,24,5,5,6,11,2,17,8,BAS,12,1079.0
"GRANGER, JAYSON","JANNING, MATT","POIRIER, VINCENT","TIMMA, JANIS","VOIGTMANN, JOHANNES",5,7,3,8,0,8,4,0,9,0,4,1,1,0,5,3,BAS,3,407.0
"GRANGER, JAYSON","JANNING, MATT","SHENGELIA, TORNIKE","TIMMA, JANIS","VOIGTMANN, JOHANNES",17,20,20,15,3,26,14,1,35,1,7,3,8,1,23,5,BAS,18,1427.0
"GUDAITIS, ARTURAS","JERRELLS, CURTIS","M'BAYE, AMATH","MICOV, VLADIMIR","THEODORE, JORDAN",5,7,3,4,0,4,10,1,9,1,3,0,2,2,7,0,MIL,9,420.0
"GUDURIC, MARKO","KALINIC, NIKOLA","MELLI, NICOLO","SLOUKAS, KOSTAS","THOMPSON, JASON",6,3,5,4,1,7,4,0,6,2,5,0,1,1,6,4,ULK,7,352.0
"GUDURIC, MARKO","KALINIC, NIKOLA","MELLI, NICOLO","SLOUKAS, KOSTAS","VESELY, JAN",6,3,3,6,0,7,5,0,7,2,10,0,3,1,5,3,ULK,2,402.0
"GUDURIC, MARKO","MAHMUTOGLU, MELIH","MELLI, NICOLO","VESELY, JAN","WANAMAKER, BRAD",3,5,2,4,0,4,10,0,9,1,9,0,2,1,7,3,ULK,7,414.0
"GUDURIC, MARKO","MELLI, NICOLO","NUNNALLY, JAMES","THOMPSON, JASON","WANAMAKER, BRAD",7,11,5,2,0,8,4,0,13,0,9,1,3,0,11,5,ULK,7,451.0
"GUDURIC, MARKO","MELLI, NICOLO","NUNNALLY, JAMES","VESELY, JAN","WANAMAKER, BRAD",4,8,3,3,0,8,5,0,6,3,10,3,2,0,8,1,ULK,0,386.0
"GUDURIC, MARKO","MELLI, NICOLO","SLOUKAS, KOSTAS","VESELY, JAN","WANAMAKER, BRAD",10,9,5,3,2,7,12,0,13,1,5,2,3,0,7,0,ULK,6,754.0
"GUDURIC, MARKO","NUNNALLY, JAMES","THOMPSON, JASON","VESELY, JAN","WANAMAKER, BRAD",8,13,5,2,1,12,10,0,12,0,1,1,6,0,9,5,ULK,8,617.0
"HACKETT, DANIEL","HECKMANN, PATRICK","LO, MAODO","RUBIT, AUGUSTINE","WRIGHT, DORELL",4,8,3,6,1,6,5,0,12,6,9,1,1,1,13,1,BAM,4,449.0
"HACKETT, DANIEL","HICKMAN, RICKY","LO, MAODO","RUBIT, AUGUSTINE","WRIGHT, DORELL",4,6,3,3,1,5,7,0,3,4,13,2,3,1,13,2,BAM,3,361.0
"HACKETT, DANIEL","HICKMAN, RICKY","MITROVIC, LUKA","RUBIT, AUGUSTINE","STAIGER, LUCCA",6,3,3,2,1,4,4,0,4,0,3,0,5,0,3,0,BAM,1,327.0
"HACKETT, DANIEL","HICKMAN, RICKY","MUSLI, DEJAN","RUBIT, AUGUSTINE","ZISIS, NIKOS",10,5,1,1,0,7,2,0,8,4,3,1,4,1,7,1,BAM,4,365.0
"HACKETT, DANIEL","HICKMAN, RICKY","MUSLI, DEJAN","WRIGHT, DORELL","ZISIS, NIKOS",8,8,7,2,6,4,8,0,10,1,4,0,3,0,7,0,BAM,2,476.0
"HACKETT, DANIEL","HICKMAN, RICKY","NIKOLIC, ALEKSEJ","RADOSEVIC, LEON","RUBIT, AUGUSTINE",7,6,2,0,1,4,3,0,3,0,0,1,3,0,2,0,BAM,1,336.0
"HACKETT, DANIEL","HICKMAN, RICKY","RADOSEVIC, LEON","TAYLOR, BRYCE","WRIGHT, DORELL",8,6,5,5,1,7,8,0,9,0,3,0,0,0,5,2,BAM,1,523.0
"HACKETT, DANIEL","HICKMAN, RICKY","RADOSEVIC, LEON","WRIGHT, DORELL","ZISIS, NIKOS",14,9,12,4,2,6,9,1,19,3,17,2,9,1,14,4,BAM,9,762.0
"HACKETT, DANIEL","HICKMAN, RICKY","RUBIT, AUGUSTINE","TAYLOR, BRYCE","ZISIS, NIKOS",3,5,8,4,1,6,5,0,6,0,0,0,2,1,6,2,BAM,2,358.0
"HACKETT, DANIEL","HICKMAN, RICKY","RUBIT, AUGUSTINE","WRIGHT, DORELL","ZISIS, NIKOS",4,7,3,2,0,5,4,0,7,2,0,1,2,0,6,1,BAM,8,460.0
"HACKETT, DANIEL","LO, MAODO","MUSLI, DEJAN","RUBIT, AUGUSTINE","WRIGHT, DORELL",7,4,2,4,0,8,5,0,8,1,2,0,4,2,7,3,BAM,7,330.0
"HACKETT, DANIEL","LO, MAODO","RADOSEVIC, LEON","RUBIT, AUGUSTINE","STAIGER, LUCCA",10,8,6,5,2,10,15,0,11,0,2,1,3,0,7,2,BAM,2,674.0
"HACKETT, DANIEL","LO, MAODO","RADOSEVIC, LEON","RUBIT, AUGUSTINE","WRIGHT, DORELL",3,5,2,4,0,7,4,0,6,0,2,0,2,0,3,1,BAM,5,306.0
"HACKETT, DANIEL","LO, MAODO","RADOSEVIC, LEON","STAIGER, LUCCA","WRIGHT, DORELL",3,5,3,7,0,6,5,0,6,0,4,0,0,0,4,2,BAM,1,410.0
"HACKETT, DANIEL","LO, MAODO","RUBIT, AUGUSTINE","WRIGHT, DORELL","ZISIS, NIKOS",6,6,4,2,0,3,7,0,7,0,3,0,1,0,5,2,BAM,1,367.0
"HACKETT, DANIEL","MUSLI, DEJAN","RUBIT, AUGUSTINE","WRIGHT, DORELL","ZISIS, NIKOS",7,9,6,4,1,10,2,0,7,1,3,1,6,0,10,2,BAM,4,433.0
"HACKETT, DANIEL","NIKOLIC, ALEKSEJ","RADOSEVIC, LEON","RUBIT, AUGUSTINE","STAIGER, LUCCA",3,1,3,5,1,5,4,0,4,2,3,0,1,0,5,2,BAM,1,326.0
"HANGA, ADAM","HEURTEL, THOMAS","KOPONEN, PETTERI","MOERMAN, ADRIEN","SERAPHIN, KEVIN",8,10,7,1,1,8,8,0,14,0,3,2,4,2,7,3,BAR,9,594.0
"HANGA, ADAM","HEURTEL, THOMAS","KOPONEN, PETTERI","MOERMAN, ADRIEN","TOMIC, ANTE",8,9,3,4,1,6,6,0,12,4,5,1,6,2,8,2,BAR,10,482.0
"HANGA, ADAM","HEURTEL, THOMAS","KOPONEN, PETTERI","ORIOLA, PIERRE","SERAPHIN, KEVIN",4,2,2,2,1,4,5,0,8,0,2,0,0,0,3,1,BAR,6,316.0
"HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","NAVARRO, JUAN CARLOS","TOMIC, ANTE",6,7,10,5,2,6,2,0,11,3,3,1,4,0,11,2,BAR,2,389.0
"HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","ORIOLA, PIERRE","SANDERS, RAKIM",4,7,3,3,0,7,7,0,4,6,4,0,1,0,9,1,BAR,3,365.0
"HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","RIBAS, PAU","SERAPHIN, KEVIN",10,22,17,4,1,21,16,0,19,2,9,2,4,2,14,5,BAR,6,1001.0
"HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","SANDERS, RAKIM","SERAPHIN, KEVIN",30,39,14,19,3,40,26,0,39,8,24,10,11,5,32,8,BAR,16,1862.0
"HANGA, ADAM","HEURTEL, THOMAS","ORIOLA, PIERRE","SANDERS, RAKIM","SERAPHIN, KEVIN",13,5,5,4,1,8,4,0,9,1,7,1,9,0,6,2,BAR,4,383.0
"HANGA, ADAM","HEURTEL, THOMAS","ORIOLA, PIERRE","SANDERS, RAKIM","TOMIC, ANTE",2,8,6,3,2,6,2,0,5,0,0,1,6,0,2,1,BAR,3,347.0
"HANGA, ADAM","HEURTEL, THOMAS","RIBAS, PAU","SERAPHIN, KEVIN","VEZENKOV, SASHA",9,12,4,1,0,8,7,0,8,1,3,0,2,1,8,3,BAR,2,445.0
"HANGA, ADAM","KOPONEN, PETTERI","MOERMAN, ADRIEN","RIBAS, PAU","TOMIC, ANTE",3,2,4,5,0,6,4,0,7,0,0,1,1,0,3,0,BAR,3,325.0
"HANGA, ADAM","MOERMAN, ADRIEN","NAVARRO, JUAN CARLOS","RIBAS, PAU","TOMIC, ANTE",29,41,43,14,4,51,29,1,45,9,13,5,29,2,37,18,BAR,21,2149.0
"HECKMANN, PATRICK","HICKMAN, RICKY","RADOSEVIC, LEON","WRIGHT, DORELL","ZISIS, NIKOS",5,7,5,1,0,2,5,0,8,1,2,0,5,0,4,0,BAM,3,334.0
"HEURTEL, THOMAS","KOPONEN, PETTERI","ORIOLA, PIERRE","SANDERS, RAKIM","SERAPHIN, KEVIN",9,7,5,2,1,7,6,0,6,2,2,1,4,0,5,4,BAR,3,358.0
"HICKMAN, RICKY","LO, MAODO","RADOSEVIC, LEON","TAYLOR, BRYCE","WRIGHT, DORELL",6,4,5,7,2,7,6,0,10,0,0,0,0,2,6,3,BAM,8,516.0
"HICKMAN, RICKY","MITROVIC, LUKA","NIKOLIC, ALEKSEJ","RUBIT, AUGUSTINE","ZISIS, NIKOS",10,6,4,0,2,3,6,0,6,1,3,0,3,0,4,1,BAM,1,375.0
"HICKMAN, RICKY","MITROVIC, LUKA","RADOSEVIC, LEON","TAYLOR, BRYCE","ZISIS, NIKOS",4,6,7,2,1,6,5,0,4,1,3,0,3,0,5,0,BAM,4,393.0
"HICKMAN, RICKY","MUSLI, DEJAN","RUBIT, AUGUSTINE","WRIGHT, DORELL","ZISIS, NIKOS",5,7,5,3,0,7,3,0,10,0,6,1,2,1,6,4,BAM,4,401.0
"HICKMAN, RICKY","NIKOLIC, ALEKSEJ","RADOSEVIC, LEON","RUBIT, AUGUSTINE","WRIGHT, DORELL",7,7,3,2,1,6,7,0,6,2,4,1,4,2,7,1,BAM,4,325.0
"HICKMAN, RICKY","RADOSEVIC, LEON","RUBIT, AUGUSTINE","WRIGHT, DORELL","ZISIS, NIKOS",20,21,12,12,2,18,24,0,30,1,11,3,6,4,24,4,BAM,28,1460.0
"HICKMAN, RICKY","RADOSEVIC, LEON","TAYLOR, BRYCE","WRIGHT, DORELL","ZISIS, NIKOS",9,3,3,5,1,5,5,0,8,4,4,1,2,1,4,3,BAM,5,458.0
